,term_1_umls_name,term_2_umls_name,sentence,term_1_umls_synonyms,term_2_umls_synonyms,pipeline,relation,evidence_count,Treat/Cause_str,is_correct,
408,"acid, n-3 fatty",cognitive decline,Fish intake and the long-chain omega-3 polyunsaturated fatty acids (PUFAs) in fish have been suggested to lower the risk of cognitive decline.,"acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",cognitive decline,chemdis,treat,1,treat,1,
409,"acid, n-3 fatty",coronary disease,"Accelerated coronary arteriosclerosis remains the most important factor limiting long-term survival of heart transplant recipients, and dietary fish oil supplementation with omega-3 polyunsaturated fatty acids has been suggested to have a protective effect against coronary disease in epidemiologic studies and to inhibit arteriosclerosis in animal experiments.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",coronary disease,chemdis,treat,1,treat,1,
410,"acid, n-3 fatty",coronary heart disease,"Epidemiological and interventional studies indicate that dietary n-3 PUFA reduces mortality due to coronary heart disease (CHD).___Multiple trials over the past two decades testing omega-3 polyunsaturated fatty acids (PUFAs), containing eicosapentaenoic acid (EPA) and or docosahexaenoic acid (DHA), have shown substantial benefits for reducing major coronary heart disease (CHD) events, all-cause mortality, cardiovascular (CV) death, sudden cardiac death (SCD), and stroke.___The consumption of fish or fish oil containing omega-3 polyunsaturated fatty acids reduces the risk of coronary heart disease, decreases triglyceride, blood pressure, and inflammatory markers, improves endothelial function, prevents certain cardiac arrhythmias, reduces platelet aggregation (including reactivity and adhesion), reduces vasoconstriction, enhances fibrinolysis, reduces fibrin formation, and decreases the risk of microalbuminuria and sudden cardiac death.___Current guidelines advocate the use of marine-derived omega-3 fatty acids supplements for the prevention of coronary heart disease and major vascular events in people with prior coronary heart disease, but large trials of omega-3 fatty acids have produced conflicting results.___Although important roles of dietary n-3 fatty acids in the prevention of coronary heart disease (CHD) have been suggested, long-term effects of dietary alpha-linolenic acid (ALA, 18:3n-3) have not yet been established under controlled conditions.___The 2017 American Heart Association science advisory on omega-3 fatty acid supplements suggested that it is reasonable to use omega-3 fatty acids for secondary prevention in people with coronary heart disease and heart failure.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",coronary heart disease,chemdis,treat,6,treat,1,
411,"acid, n-3 fatty",cvd,"For food nutrients, two SRMAs of RCTs found that high intake of n-3 polyunsaturated fatty acid (PUFA) significantly reduced CVD risks, with pooled RRs ranging from 0.89 (95%CI: 0.82, 0.98) to 0.90 (95%CI: 0.85-0.96), while evidence of efficacy of n-6 PUFA and combined n-3 and n-6 PUFA were inconsistent.___This review briefly summarizes the effects of omega-3 fatty acids in primary and secondary prevention of CVD.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",cvd,chemdis,treat,2,treat,1,
412,"acid, n-3 fatty",dis metab,"Omega-3 fatty acids reduce the risk of irregular heartbeat, stabilize arterial pressure, and restore balance in cholesterol metabolism disorders.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","dis metab;disease, metabolic;disease;metabolic;diseases, metabolic;disorder of metabolism nos;disorder of metabolism nos (disorder);disorder; metabolism;disorder;metabolic;general; metabolic disorder;generalised metabolic disorder;generalized metabolic disorder;generalized metabolic disorder (disorder);md - metabolic disorders;metab dis;metabolic derangement;metabolic disease;metabolic disease (disorder);metabolic disease, nos;metabolic diseases;metabolic disorder;metabolic disorder nos;metabolic disorder, nos;metabolic disorder, unspecified;metabolic disorder; general;metabolic disorders;metabolic disorders (diagnosis);metabolic disorders (disorder);metabolic disorders: general;metabolism disorder;metabolism disorder nos;metabolism disorders;metabolism--disorders;metabolism; disorder;metabolism; disorder, general;rndx metabolic;rndx metabolic (diagnosis);thesaurismoses;thesaurismosis;unspecified disorder of metabolism",chemdis,treat,1,treat,1,
413,"acid, n-3 fatty",heart failure,"Evidence from epidemiological, clinical and experimental studies indicates a beneficial role of the omega-3 polyunsaturated fatty acids (omega-3 PUFA) found in fish oils in the prevention and management of heart failure.___This review summarise the data related to use of omega-3 PUFA supplementation as a potential treatment for heart failure and discussed possible mechanism of action.___The 2017 American Heart Association science advisory on omega-3 fatty acid supplements suggested that it is reasonable to use omega-3 fatty acids for secondary prevention in people with coronary heart disease and heart failure.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",heart failure,chemdis,treat,3,treat,1,
414,"acid, n-3 fatty",hypertriglyceridemia,"Fish oil, and omega-3 fatty acids in particular, have been found to reduce plasma levels of triglycerides and increase levels of high-density lipoprotein in patients with marked hypertriglyceridemia, and a pharmaceutical-grade preparation has recently received approval from the US Food and Drug Administration to market for this purpose.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",hypertriglyceridemia,chemdis,treat,1,treat,1,
416,"acid, n-3 fatty",inflamm,"The OMEGA-PAD I Trial, a randomized, double-blinded, placebo-controlled trial, addressed the hypothesis that short-duration, high-dose n-3 polyunsaturated fatty acids (n-3 PUFA) oral supplementation improves endothelial function and inflammation in PAD.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","inflamm;inflammation;inflammation (morphologic abnormality);inflammation (qualifier value);inflammation nos;inflammation, nos;inflammations;inflammatory reaction;inflammatory reaction, nos",chemdis,treat,1,treat,1,
417,"acid, n-3 fatty",myocardial infarction,"The most compelling evidence for CV benefits of omega-3 PUFA comes from 4 controlled trials of nearly 40,000 participants randomized to receive eicosapentaenoic acid (EPA) with or without docosahexaenoic acid (DHA) in studies of patients in primary prevention, after myocardial infarction, and most recently, with heart failure (HF).___Two clinical intervention trials show that prescription of fish or n-3 fatty acids to patients with prior myocardial infarction is effective in preventing mortality due to CHD.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",myocardial infarction,chemdis,treat,2,treat,1,
418,"acid, n-3 fatty",stroke,"Multiple trials over the past two decades testing omega-3 polyunsaturated fatty acids (PUFAs), containing eicosapentaenoic acid (EPA) and or docosahexaenoic acid (DHA), have shown substantial benefits for reducing major coronary heart disease (CHD) events, all-cause mortality, cardiovascular (CV) death, sudden cardiac death (SCD), and stroke.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",stroke,chemdis,treat,1,treat,1,
419,"acid, n-3 fatty",sudden cardiac death,"Multiple trials over the past two decades testing omega-3 polyunsaturated fatty acids (PUFAs), containing eicosapentaenoic acid (EPA) and or docosahexaenoic acid (DHA), have shown substantial benefits for reducing major coronary heart disease (CHD) events, all-cause mortality, cardiovascular (CV) death, sudden cardiac death (SCD), and stroke.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",sudden cardiac death,chemdis,treat,1,treat,1,
